Отзыв,Название,Тональность
"Ищите в фильме смысл. Вы его увидите. «…Реально то, что осознаешь»  Тема иллюзорности реальности поднималась в литературе и кино немалое кол-во раз. Все мы знаем и «Футурологический Конгресс» Станислава Лема, «Тёмный город» Алекса Прайса и аниме «Ghost in shell» Осии Мамору. А если ко всему этому вспомнить сколько было фильмов и романов посвящённых теме виртуальной реальности… Впрочем, особенность Матрицы не в этом. Абсолютная оригинальность, которой нет ни у одного известного мне фильма, Матрице тоже не присуща. Особенность её, как и любого выдающегося фильма в том, что Вачовски при её создании взяли всё лучшее, что имелось в этих источниках и соединили эти элементы в свой, поистине не обычный фильм.   Основной смысл картины прост: Несмотря на «компьютерность» и иллюзорность реальности, даже в ней есть свой мессия, который спасёт людей.   Но не одним смыслом, исчерпывается смысловая нагрузка этого фильма, потому что помимо этого, в Матрице имеются   Подтексты  Взять хотя бы имя главного героя ( Томас Андерсон) , которое можно перевести как Фома сын Человеческий, что будет также являться сноской к Евангелию.   Или же закономерность номер комнат Нео и Тринити символизирующая их связь.  Вспомним побег Тринити (Троицы) из комнаты 303 , комнату проживания Избранного (ONE) под номером 101, и осознание им своих способностей у порога того же номера 303, любящей его женщины.    Надпись в основной палубе Навуходоносора, дающей нам ссылку к Евангелию от Марка, главе 3, стиху 11- ому.   Так же, название последнего города людей Сиона имеет непосредственную связь с холмом Сион, на котором стоит Иерусалим. Город обетованной землёй евреев.   Аналогии   Имя одного из центральных персонажей — Морфеуса, является ни чем иным , чем аналогией на Морфея — бога сновидений. Иронично то, что Морфеус скорее освобождает людей от сновидений, нежели привносит им их. По фильму можно предположить, что Морфеус взял это прозвище себе специально, для того, чтобы показать свою связь с миром снов (Матрицей) и его противостояние ему.  Сам же по себе, Морфеус можно сказать, выступает в «Матрице», в роли Иона Крестителя, провозглашающего пришествие спасителя.   Тринити (Троица) — намёк на святую троицу. Хотя по фильму, вряд ли она брала себе это кодовое имя , для неуклюжей аналогией с религией.   Ну естественно, Нео выступает в роли спасителя, миссии, Избранного (ONE).   Cноски  На популярную теорию объяснения реальности и имитации «Simulacra and Simulation» , в сцене где Нео достаёт диск из книги.  Издёвка над бывшим президентом США Рональдом Рейганом, в сцене разговора Сайфера со Смитом.   Шутливая сноска на группу Depeche mode, в сцене где Чои говорит Нео о том, что он его «Personal Jesus»   Естественно не будем забывать о «Алисе в стране Чудес», сноски на которую имелись в сценах объяснения Морфеусом реальности, да и в сцене прихода Чои ( «Иди за белым кроликом».) Я намерено начал отзыв с перечисления. И Указал здесь лишь самое основное, и самое известное. То что уже неоднократно разбиралось и обсуждалось во многих кругах любителей фантастики. Перечислять же всё, будет очень долго, и ни к чему. Всё вышеперечисленное было приведено в пример сюда лишь потому, что некоторые из зрителей почему-то абсолютно не хотят видеть фильм таковым, какой он есть, а оценивают его и обращают внимания в нём лишь на спецэффекты. У ненавистников Матрицы при упоминании в оной каких-либо подтекстов в запасе всегда есть один ответ: Ты там один правильный углядел, а остальное просто случайно с фильмом совпало. Но посудите сами, не слишком ли их там много, для случайного совпадения?   Некоторые даже упрекают «Матрицу» в наличии высококачественных визуальных эффектов, обосновывая свой немотивированный выпад фразой: «Там весь упор на них делали. Лучше бы их там вообще не было» . Ну чтож, каждому своё. Мне их кол-во показалось сбалансированным и уж тем более, спецэффекты не отвлекали от всех аспектов фильма.   Устройство «Матрицы». Фильма и мира.  Имея уважение к своим предшественникам по жанру кинофантастики, Вачовски решили соблюдать основные каноны фантастического фильма ( такие, как логичность и интересность сюжета, реалистичность повествования несмотря на фантастический элемент и т.д.)   Тем не менее, многие упрекают Матрицу в несоблюдении первого пункта. Доходит до того, что говорят, что нибудь в духе: сюжет Матрицы абсурдный, и вообще Вачовски дураки, а Уве Болл гений. Возможная причина таких высказываний может быть не только злопыхательство и сопротивление всему популярному, а непонимание сюжета.  Главной причиной придирок к сюжету Матрицы был вопрос : Как машины могут получить какую-то энергию из человека, не превышая затраты на поддержания его существования? Почему просто не уничтожить всех людей и радоваться жизни?   На первый взгляд это действительно может выглядеть нестыковкой. Вероятней всего то, что для того, чтобы полностью вникнуть в сюжет Матрицы, нужно не только хорошее знание первоисточника, но и знание дополнения к нему, в лице Аниматрицы. При всём это факт остаётся фактом, ибо  В фильме никто не говорил, что у машин не было возможности выжить, кроме как выкачивать энергию из людей. Ведь никто не оспаривает того, что у них была возможность, которая помогла им истребить почти всё человечество,. Следовательно, ещё до создания Матрицы энергии у них было с избытком. А человеку они просто нашли более полезное применение. И с помощью этого применения они получают силу для жизни, вместе с остальным.  Несмотря на это, Матричная схема не была полностью раскрыта в первом фильме, ибо как заявили Вачовски , они с самого начала собирались делать трилогию. Поэтому им были нужны нормальные причины для возникновения сиквелов. Т.е. все основные объяснения вопросов оставшихся после первого фильма.  Намёк на Архитектора Матрицы, кстати, нам дан в сцене допроса Нео, Агентами, где мы видим всё происходящее из мониторов.  В «Матрице» как и в её культовых предшественниках по жанру фантастического боевика («Терминатор» 1,2 или же «Чужие» ) имеется общая особенность в плане изображения экшен-сцен. Особенность заключается в том, что в фильме, в отличии от обычного боевика, экшен — сцены не являются лишь подручным средством, которым сценаристы хотели заткнуть в фильме дыру, а выглядят органичной частью развития истории, параллельно служа местом для раскрытия персонажей и идей фильма.   Из подобных сцен в Матрице в пример можно привести Схватку в метро, где нам показывают , как Нео пытается поверить в свои силы, выдерживая немыслимые побои . Сцену тренировки Нео и Морфеуса, где зрителю средством поединка объясняются возможности системы и сила разума, сцена перестрелки в холе, на крыше и «ловля» вертолёта, заставляющая зрителя задуматься о том, Избранный ли Андерсон или нет.   Так же. Способ повествования «Матрицы» является постепенным введением зрителя в курс дела, начиная с абсолютно непонятного начала ( Какая-то женщина, зависающая в воздухе, какие-то странные агенты ФБР, какие-то разноцветные таблетки.) и становления всего на свои места, в конце. От многих фильмов со схожей манерой повествования Матрицу отличает её «многслойность», ибо для полного усвоения всех идей фильма необходим пересмотр, для выявления всех деталей. А главное, что просмотрев «Матрицу» до конца вы не замечаете, что действие фильма происходило на протяжении 18 (!) месяцев. Все , кто смотрел фильм внимательно — поймут.   Через мир Матрицы Вачовски пытаются показать некое новое видение мира, объяснив все не исследованные до конца явления и аномалии, происходящие на нашей планете, как ошибки системы. Эти же системные коды и позволяют главным героям зависать в воздухе , прыгать с крыши на крышу, выживать после сильнейших побоев и уворачиваться от пуль. Так же, это «видение матричного мира» было отличным способом аннулировать все технические баги картины. ( пистолеты выстреливают не совсем так, как нужно, в лифте нет страховки)   Необычным способом в 'Матрице' изображены машины. Так как в отличии от остальных фильмов, посвящённых противостоянию человека и искусственного интеллекта, здесь машина показана как в какой-то мере живой механизм, способный на сбои, ошибки, и , как не странно, обладающее эмоциями. Машина ( в данном случае программа) показана, практически как «плоть и кровь» человека, со злобой, завистью, и даже добротой. Единственным воплощением тупой и неодолимой силы среди машин, можно назвать спрутов.  Главный злодей картины, Агент Смит, программа , инструмент саморегуляции системы, представляется нам как раз машиной с проявлением человеческого. Он имеет мотивацию своих действий, считая человечество вирусом, болезнью Земли, а себя лекарством. Но кроме своих мотиваций, он имеет предназначение — защищать систему от нарушителей. И он выполняет свою задачу. Смит не является опереточным злодеем, делающим зло, во имя зла. Этим интересен.  Да и само той понятие зла в этом фильме достойно обсуждения. Ведь что делают машины? Они лишают человека реальности, давая ему взамен жизнь лучше, что они могли иметь на заражённых радиацией, развалинах старого мира. А надо ли человеку всё это?   Эту идею создатели пытаются пронести через поступок Сайфера.  Слабостью «Матрицы» , в плане соблюдения канонов фантастического кино, являются не достаточно глубокое изображение персонажей и человеческих отношений.   По поводу персонажей. Несмотря на то, что внимательный зритель сможет узнать какую-то часть из биографии Нео ( где родился, учился), о самом персонаже мы мало что узнаем. Нео представляется нам, как человек, живущий в полусне, местами туповатый (хоть сам он и не дурак) и интересующийся лишь одним вопросом: Что такое Матрица? Не сказал бы, что это сильный образ.   Многие винят в этом Киану Ривза, обвиняя его в неумении играть. Это не так. Посмотрите на него в жизни (вы поймёте, что себя в Матрице он играть не мог никак) И посмотрите на другие его работы (вы поймёте, что он может менять образ).   Гораздо более выразительным получился Морфеус. Образ здесь сложился за счёт сочетания актёрской игры, и самого персонажа. Морфеус фанатик. Он верит в избранных, предсказательниц, мессий, чудеса. Он верит в то, что Нео принесёт им чудо. Кроме того, Морфеус обладает харизмой и талантом лидера. Однако он не так чист, каким видится на первый раз, ведь от Сайфера мы узнаём, что обманом из Матрицы был вытащен не только Нео, но и все члены экипажа Навуходоносора. Т.е. для осуществления своих целей, Морфеус набирал команду, наплевав на их свободу выбора и их жизни.   Далее по выразительности идут Сайфер, Тринити и Маус. Про Смита было уже сказано достаточно. Остальные персонажи ( такие как Танк, Апок, Свич, Дозер) либо были развиты как персонажи не лучшим образом, либо не нуждались в таковом развитии вообще, будучи второпланвыми.   Что же касается человеческих отношений. Это самое слабое место фильма. Начиная с того, что история любви Нео и Тринити, на которую Вачовски явно хотели сделать уклон ( да в тех же подтекстах ) была изображена неправдоподобно. Конечно можно уследить причинно — следственную связь ( Тринити была самой красивой женщиной на корабле и проявив к Нео инициативу (как к самому нормальному мужику на корабле) получила от него ответ. Ну, так же предсказание Пифии ещё было) Тем не менее, эти детали выделены слишком слабо. А те речи любви, которые она шептала Нео в конце фильма и вовсе выглядят фальшиво.  Поверить же в любовь Сайфера к героини Кэрри — Энн Мосс гораздо легче. Ведь нам показывают, что при тех жёстких условиях жизни в реальном мире у их женщин не может сохраняться красота. А Тринити, как уже было сказано, самая красивая на всем «Навуходоносоре».  Опять же, при всём этом человеческой теплоты в фильм могла добавить музыка. Все мы знаем, как скор может нагнать саспенс, заставить зрителя заплакать или же заставить чувствовать динамику. Увы, «скор» Дона Дэвиса абсолютно не придавал фильму эмоциональность, а был пафосным, а во многих местах и незапоминающимся. Особенно удручает второй пункт, ибо как раз за счёт пафосности «скора», местами натужные лица актёров или же некоторые диалоги, выглядели гипертрофировано и придавали фильму совершенно ненужный элемент.   Однако с остальным саундтреком Вачовски не прогадали, ибо такие отличные композиции как Clubbed to death и Spybreak, действительно звучали динамично и придавали фильму нужный настрой. Кстати, очень интересно было бы узнать, в какой сцене первоначально предполагалось использовать известнейшую песню группы Рамштайн — Du hast   Что касается стилистических находок, то они потрясающи. То же самое буллет -тайм, или же дождь зелёных символов , рапида, зависание в воздухе. Даже вступительные титры. Смотрится всё это отлично, и это несмотря на то, что многие из этих вещей (тоже буллет -тайм,только более примитивное) встречались в боевиках Джона Ву или же японских аниме. Однако здесь эти находки был реализованы самым лучшим образом. А в 1999 году эти спецэффекты поистине поражали.   Тем не менее, есть серьёзная претензия к одному из элементов визуальной состовляющей. Претензия к зелёному цветофильтру, который имеется во всех сценах внутри Матрицы. Он сделан слишком угнетающе. Вся сочность цветов, все ракурсы съемок и т.д.в Матричных сценах начинают, теряться. Преобладание синего цвета в сценах реального мира не мешает смотреть фильм нисколько. С зелёным цветофильтром хуже. В Аниматрице же эта ошибка была исправлена, ибо виртуальная реальность там, смотрится через преобладающий зелёный цвет сочно и ярко.    Мало кто знает, что первоначально Матрица была зачислена в B -movie. Нет, не по причине какой-то там второсортности или же примитивности. Просто никто вначале не собирался давать малоизвестным режиссёрам огромные деньги на создание фильма, в сценарий которого «въехали» далеко не все продюсеры Голливуда . Поэтому вначале на этот амбициозный проект было дано всего — лишь 10 миллионов (!) долларов. И именно из-за низкого бюджета на фильм вначале был повешен мерзкий ярлык «B». Примерно также начиналось, производство многих признанных шедевров НФ. Таких как «Чужой», «Терминатор», «Звёздные войны» (хотя это в большей степени фэнтэзи) и т.д.   «Сarrier anomaly…«  Восприятие фильма было разным. Многие, посмотрев 'Матрицу' раз - два раза или заносили её в разряд тупых боевиков, по абсолютно дурацкому принципу: „Фильм плохой, потому что там стреляют“ или же говорили что-нибудь в духе: Они сняли невразумительную ахинею, с претензией на гениальность. А вся проблема лишь в том, что Матрицу нельзя понять с первого раза, ибо количество идей заложенных в ней, да и сама комплексность схемы, не позволяет прожевать смысл вместе с попкорном.   Самое смешное в том, что спроси кого-нибудь из этих „критиков“ ( кавычки поставлены по причине того, что ни один критик в здравом уме не скажет такого) про фильм, вам будут долго описывать буллет -тайм, зависания в воздухе и том, какие там спецэффекты, однако же когда вы спросите возмущённого о том, какой смысл в Матрице, и с каким подтекстом и идеями он там не согласен, возмущённый лишь почешет затылок и переведёт тему на фильмы со Стивеном Сигалом, сопроводив это фразой: Смысла в Матрице и нет. А кто видит, тот дурак.   Естественно, не стоит также обращать внимания на лозунги о фильме типа:» Матрица это философия уровня размышлений Конфуция» ,потому что кроме смысловой составляющей, Вачовски приправляли Матрицу экшен-элементом, стилестическими находками, инновационными спецэффектами и т.д. Однако для фантастического боевика — триллера уровень смысловой нагрузки Матрицы очень высок. К сожалению не все могут или хотят осознать это.   Матрицу можно любить, можно не любить, однако не признать того факта, что она — представляет из себя нечто большее, чем просто боевичок, нельзя.  Известный факт: 90-ые годы для Кинофантастики были гораздо менее благоприятными, нежели 80-ые. Можно даже сказать, что 90- ые ознаменовали её спад. Ибо к стоящим представителем жанра я бы причислил лишь два сиквела ( «Терминатор 2», «Чужой 3» ) , и х/ф «12 обезьян». С расцветом цифровой технологии НФ фильмы стали терять душу и идею, и иметь чисто развлекательный характер.   Тем не менее, «Матрица» показала, что даже в период расцвета спецэффектов, и НФ фильмов делающихся ради спецэффектов, может выходить кино где в балансе находятся и визуальная часть, и идейная составляющая. «Матрица» дала нам надежду на то, что в НФ 21 -ом веке не деградирует в маргинальный и чисто коммерческий жанр.   9 из 1
  ",Матрица ,1
"Тогда ты увидишь, что гнется не ложка, а ты сам.  Матрица - это феноменальный фильм. С одной стороны, этот фильм стал таким популярным и любимым благодаря своей смысловой глубине. С другой стороны, большинство людей, заценивших этот самый философский смысл, не считают его «практичным». Между тем Матрица – очень даже прикладной фильм, ведь смысл, который создатели фильма в него вложили, отточен настолько последовательно и четко, что на мой взгляд глупо утверждать, что авторы идеи «ничего не имели ввиду», и все духовные прозрения Матрицы относятся только к области фантастики.  Совершенно очевидно, что главной идеей фильма является то, что мы живем в иллюзии. Даже если не углубляться в эзотерические детали и рассматривать эту идею на самом 'материальном' уровне, не ставя под вопрос тот факт, что все 'физическое' в этом мире таки существует, все равно очевидно, что каждый из нас однозначно и без исключения живет в иллюзии. Эта иллюзия - так называемая «цивилизация», или «групповая галлюцинация», «цивилизационно-групповое видение мира и себя», поддерживаемое той частью нашего разума, которая называется эго.  Как написал один раз Пелевин, в отличие от животных, которые получают из окружающей среды информацию в виде визуальных/звуковых/тактильных и прочих импульсов и соответственно реагируют на них, ум человека двоичен - одна часть тоже обрабатывает все эти импульсы, а другая часть занята тем, что работает на абстрактные задачи и направляет свою энергию на достижение 'нефизических целей' - в первую очередь на карьеру, зарабатывание денег, престижа, репутации, статуса - всего того, чего в физическом мире не существует и оно является просто групповой договоренностью, условностью, существующей в умах людей.  'Подумай сам. Что такое цивилизация, Это ничто иное, как огромное производство денег. человеческие города - просто денежные фабрики, и только по этой причине в них живет такая уйма людей. Там все время идет бурный рост - хотя не до конца понятно, что именно растет и куда. И это непонятно что растет и растет, и всех очень волнует, быстрее оно растет чем у других, или медленнее. При этом никто - вообще никто из тех, кто живет в городе, этого непонятно чего вообще ни разу не видел... Люди производят продукт, о котором не имеют никакого понятия. Несмотря на то, что ежедневно думают только про него. Как бы ни называлась человеческая профессия, это просто участок карьера по добыче денег. Человек работает в нем всю жизнь. Это у него называется 'карьерой', хе-хе.' Пелевин  Таким образом человек навсегда помещается в беличье колесо, где с рождения (или лет с семи хотя бы) крутится по совершенно предсказуемой, контролируемой траектории. Кто его помещает? Цивилизация, которая вкладывает в ум невинного ребенка систему убеждений, представления о добре и зле и мире в целом, нравы общества и так далее.  От разных цивилизаций зависит только дизайн колеса, в конечном итоге суть одна и та же - человек становится запрограммированным и как в программе, живет за правилами системы.  Садик, школа, институт, рабочее место, армия, и конечно же масс-медиа - все это агенты системы, помогающие сделать из человека с безграничными выборами или возможностями просто барана в стаде или батарейку. И как правильно сказано в фильме - каждый подключенный к системе человек - тоже ее потенциальный агент. Почему? А давайте задумаемся, что же такое эта страшная-страшная ужасная «цивилизация»? С одной стороны это что-то внешнее контролирующее нас, а с другой стороны она существует в части нашего ума, отвечающей за нашу личность, человека публичного - эго. Именно поэтому все мы агенты не только потому что действуем по правилам системы, а и потому что есть носителями и творцами ее у себя в уме. Довольно интересно то, что эта часть ума - эго, будучи всего лишь частью ума (есть еще и сознание и интеллект, инстинкты и рефлексы, обеспечивающие функционирование биологического тела) у людей доминирует, то есть они полностью ассоциируют себя именно с эго (с личностью, публичным образом, который как раз и есть результатом и активным агентом цивилизации), не имея возможности увидеть себя со стороны. Если бы эта часть нашего ума не доминировала, мы бы как Нео могли увидеть Матрицу, понять, насколько автоматичной была предыдущая жизнь.  Что же надо делать для этого? Следовать рекомендациям, указанным в фильме. Сначала надо «проснуться» - увидеть иллюзию со стороны и прекратить отождествлять себя с ней. А потом следует «освободить свой ум». Как я понимаю, освобождать надо от старых привычек и убеждений, от навязанных знаний, идей и целей, а также от монополии «личностной» части человека – эго - над всем умом, потому что доминирование именно этой части обеспечивает контроль – через манипуляцию эмоциями, жадностью (включает и жадность как таковую, и стремление к признанию, уважению и власти), гордостью, страхом и неуверенностью в себе. Тогда, говоря по-буддистски, человек достигает просветления, состояния чистого сознания и непосредственного видения. Он уже неограничен никакими правилами и законами системы, потому что ограничен был не сам человек, а его ум.  И все таки о ложке..  'Мальчик: Не пытайся согнуть ложку, это невозможно. Вместо этого попытайся осознать правду. Нео: Какую правду? Мальчик: Что нет никакой ложки. Нео: Нет никакой ложки? Мальчик: Тогда ты увидишь, что гнется не ложка, а ты сам.' Матрица  Если же закопаться в смысл фильма еще глубже благодаря вот этому диалогу про ложку, то можно прийти к выводу, что физический мир тоже не так уж нерушим и есть частью своей Матрицы. Буддисты считают, что на самом деле существует только чистое сознание, а все физические предметы, тела и оболочки – временные формы этого сознания, типа сон. Задача этого сознания, которое есть у каждого человека – осознать (увидеть) себя и понять что оно есть частью единого сознания Вселенной. Если пытаться согнуть ложку взглядом будучи уверенной, что она существует, вряд ли такой трюк получится. А если осознать что ложка – это форма энергии..  Еще Энштейн доказал, что материя – это форма энергии. Все во Вселенной – это потоки энергии с разной плотностью и частотой, и мы конечно же тоже есть таким же сгустком энергии со своим полем (это уже кстати давно доказано). Наше энергетическое поле может влиять на предметы и гнуть не только ложки, а и вилки (да что там, что-то еще. Что для этого требуется – «согнуть» свой ум, сделать ее гибким и подконтрольным нашей воле, потому что именно он – наш firewall, решающий, что может войти в систему нашего восприятия, а что нет, это антивирус (агент Смит) нашей Матрицы.  Желаю всем увидеть свою Матрицу. ",Матрица ,1
"Знаете, как бы Матрицу не ругали, за слишком сложный для понимания сюжет, или за неудачные в той или иной степени продолжения, всё же не стоит забывать, что этот фильм стал переломной вехой в истории кино. После Матрицы в кинематографе поменялось практически всё, Матрица перевернуло понятие фильмов в жанре экшен и фантастики. Чего только стоят солнце защитные очки и кожаные плащи! а саундтрек? Я уж ничего не говорю о постановке рукопашных боёв.  И, конечно же, ни в коем случае не стоит забывать о гениальных компьютерных спецэффектах с величайшими фишками (я говорю о замедлении времени и о траектории полёта пули). И хотя эти самые две фишки уже ранее как-то в кино были показаны, но именно в Матрице они были продуманы до конца, и именно после Матрицы они обрели популярность вселенского масштаба. Хочу выразить огромную благодарность Братьям Вайчовски и всей съёмочной группе.  ",Матрица ,1
"Матрица: До и После  С тех пор, как в далеком 1999 году я посмотрел фильм Матрица, он был есть и будет для меня лучшим фильмом в мире. И дело тут не только в спецэфектах. Сам сюжет завораживает с первой и до последней минуту. Когда я смотрел Матрицу первый раз то каждую минуту думал 'а что же будет через минуту, две, три и т. д. '. И каждый раз мои домыслы потрясались тем, что я видел на экране.  Великолепная игра Киану Ривза и по сей день считается неподражаемой. Так как он сыгран Нео, не сыграет больше никто ! Трудно представить сейчас, что кто-то ещё мог сыграть Нео. Однако это так Уилл Смит, Леонардо Ди Каприо и многие другие знаменитые актеры пробовались на эту роль, но волею случая утвердили Киану Ривза.  После просмотра Матрицы, моя жизнь поделилась на До просмотра и После. Фильм перевернул мои взгляды на сам кинематограф и на жизнь в целом. И даже иногда начинаешь задумываться: А что если это всё действительно, Матрица... ",Матрица ,1
"А ты веришь в Матрицу?  — Ты веришь в судьбу? — Нет. — Почему? — Неприятно думать, что тобой манипулируют.  Прекрасно помню тот день: погода была отвратительная, шел дождь, а я с отцом и матерью шла по Пушкинской площади к кинотеатру. Да, это был мой первый фильм на большом экране, и еще первое серьезное кино в моей жизни. Зал был полон - фильм всего несколько недель в прокате. Места в самом центре зала. А потом первые кадры фильма, пронизывающий звук и впечатляющие спецэффекты. И все… Я влюбилась в это кино, а была еще маленькой привередливой девчонкой.  Сейчас, в сотый раз пересматривая фильм, я не могу оторваться от экрана телевизора. Все вокруг исчезает: только я и мое любимое кино. Происходящее на экране до сих пор кажется сказкой, а я уже давно выросла.  Эволюция… Именно эволюция кино. А началом ей послужил легендарный фильм братьев Вачовски. Теперь, когда смотрю какой-то новый фильм и замечаю знакомые эффекты, то подскакиваю на месте с тихим шепотом: «Матрица…»  Теперь по существу и по порядку:  1) Сюжет и задумка:  Новое слово в кинематографе, однозначно. Это был, есть и остается фурор. Сама идея передачи реальности как виртуального мира, конечно, будоражит наше воображение, оставляя кучу вопросов, не находящих ответов. Затронута очень важная философская тема: судьба, как таковая. Причем авторы киноленты доказывают нам ее существование и необратимость, нужно только верить…  В фильме показана довольно интересная проблема: мир машин, мир компьютера, истребление людей. Матрица – как альтернативная реальность для миллиардов людей, которые служат машинам, даже не подозревая об этом. А что если так и нам, закладывают в голову самые простые и неимоверно сложные вещи? Что если все, что мы знаем – ложь? компьютерная графика? А наша реальность похожа на ад?  Ты всю жизнь ощущаешь, что мир не в порядке. Страшная мысль, но ее не отогнать.  2) Что-то новенькое:  Инновация фильма состоит скорее в том, что в самые завораживающие моменты время в кино, как будто замирает и нам показывают одно движение с разных сторон. Первый раз, когда я это увидела, сердце буквально замерло. Это было так необычно и странно, а теперь эту же технологию используют во многих остросюжетных картинах. Но МАТРИЦА остается МАТРИЦЕЙ. Гениальное кино!  3) Игра актеров:  Актеры бесподобны (не побоюсь этого слова!).  Киану Ривс (Нео, мистер Андерсен) – один из моих любимых зарубежных актеров. Лучшего кандидата на роль Избранного не сыскать во всем Голливуде. А в длинном черном кожаном плаще и солнцезащитных очках он просто прекрасен.  — Быть избранным – все равно что влюбиться. Кто знает, что ты влюблен? Лишь ты один чувствуешь это всей кожей.  Керри-Энн Мосс (Тринити) – очень хорошая актриса. Ее роли всегда запоминаются.  -Я знаю, чем ты занимаешься… почему ты плохо спишь, почему живешь один и почему ночь за ночью сидишь за своим компьютером. Ты ищешь его. Я знаю, потому что я сама искала. И когда он нашел меня, он сказал, что на самом деле я искала не его. Я искала ответ. Этот вопрос ведет нас. Он сводит нас с ума! Этот вопрос привел тебя сюда. Ты знаешь этот вопрос, так же как и я.  Лоренс Фишбёрн (Морфеус) – его герой весь фильм преисполнен верой. И только она помогает ему и ведет сквозь непростую жизнь.  - Что есть Матрица? Диктат. Матрица – это мир грёз, порождённый компьютером, созданный, чтобы подчинить нас, сделать из нас всего лишь батарейки.  Отдельное слово хочется сказать о Хьюго Уивинге (мистер Смит) – игра завораживает. В течении всего фильма, независимо от ситуации, его герой, как истинное компьютерное творение, сохраняет относительное спокойствие, независимость и уверенность в себе. Браво!  4) Музыка:  Никакого акцента в фильме на музыку осознанно не делается, НО… Саундтрек шикарный! Каждый момент фильма сопровождается оригинальным и очень грамотным (другого слова не подобрать) саундом. А вообще про звук: если смотреть ленту в кинотеатре или дома в хорошей записи желательно с системой Dolby Surround или если есть возможность посмотреть с «домашним кинотеатром», то звук картины вас не разочарует. Довольны будут даже самые придирчивые зрители и слушатели ;)  Кино стоит просмотра. Могу сказать, что оно в какой-то степени для любителей, потому что мало просто его посмотреть, грамотней даже сказать ПРОсмотреть, нужно задуматься. Что бы выбрили вы? Синюю или красную? Неведенье или суровую реальность? Борьбу или пассивность? Вопросы бесконечны… И ответы для них найти не так – то просто.  Каждый просмотр картины – это увлекательное падание в кроличью нору. Так давайте же посмотрим, как глубока нора и сколько опасностей и тайн она таит.  Лично для меня Матрица – кино столетия, самый любимый и незаменимый фильм. Только это кино я чувствую всей кожей, только в нем могу найти ответы. Невероятно мудрая картина!  — Матрица повсюду. Она окружает нас. Даже сейчас, она с нами рядом. Ты видишь ее, когда смотришь в окно или включаешь телевизор. Ты ощущаешь ее, когда работаешь, идешь в церковь, когда платишь налоги. Целый мирок надвинутый на глаза, чтобы спрятать правду.  — Какую?  — Что ты только раб, Нео. Как и все, ты с рождения в цепях. С рождения в тюрьме, которой не почуешь и не коснешься. В темнице для разума.  Смотрите и задумывайтесь. Осознавайте, что ваше будущее только в ваших руках. Будьте теми, кем должны быть.  10 из 10 ",Матрица ,1
